,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
296,deepspeed_policy,302.1103401184082,90.875,18388942848.0,12.2,76534394880
297,deepspeed_policy,303.1372835636139,60.5,18388942848.0,12.2,76511997952
298,deepspeed_policy,304.1552619934082,4.375,18388942848.0,10.6,76511981568
299,deepspeed_policy,305.1677236557007,76.75,18388942848.0,12.2,76511723520
300,deepspeed_policy,306.18185925483704,79.875,18388942848.0,12.1,76511936512
301,deepspeed_policy,307.1858606338501,87.625,18388942848.0,11.8,76511678464
302,deepspeed_policy,308.19182085990906,46.25,18388942848.0,11.9,76511420416
303,deepspeed_policy,309.1953501701355,90.125,18388942848.0,10.7,76510744576
304,deepspeed_policy,310.260427236557,84.875,18388942848.0,12.1,76511002624
305,deepspeed_policy,311.26731538772583,89.625,18388942848.0,12.0,76511002624
306,deepspeed_policy,312.2709300518036,84.25,18388942848.0,11.7,76510830592
307,deepspeed_policy,313.27443623542786,0.0,18388942848.0,12.1,76505604096
308,deepspeed_policy,314.2787232398987,73.875,18388942848.0,11.0,76505825280
309,deepspeed_policy,315.32990765571594,92.125,18388942848.0,12.2,76505341952
310,deepspeed_policy,316.3347930908203,95.75,18388942848.0,12.1,76506628096
311,deepspeed_policy,317.3924436569214,59.5,18388942848.0,12.4,76506390528
0,harmony,0.0,0.0,32467386368.0,10.2,76640989184
1,harmony,1.013899564743042,0.0,32467386368.0,10.1,76653117440
2,harmony,2.0177605152130127,97.75,32467386368.0,11.7,76662374400
3,harmony,3.0450375080108643,99.125,32467386368.0,11.9,76655222784
4,harmony,4.0505969524383545,81.875,32467386368.0,12.3,76656832512
5,harmony,5.058192729949951,69.75,32467386368.0,12.3,76657213440
6,harmony,6.062183618545532,75.25,32467386368.0,12.2,76656152576
7,harmony,7.08820104598999,97.25,32467910656.0,12.1,76656394240
8,harmony,8.137158393859863,65.125,32467910656.0,12.4,76660994048
9,harmony,9.221473217010498,0.0,32467910656.0,11.1,76660826112
10,harmony,10.225365161895752,0.0,32467910656.0,10.6,76666028032
11,harmony,11.229228496551514,33.25,32467910656.0,11.1,76675809280
12,harmony,12.234113454818726,91.5,32467910656.0,12.6,76669038592
13,harmony,13.312279462814331,97.125,32467910656.0,12.6,76678000640
14,harmony,14.384149312973022,100.0,32467910656.0,12.1,76676653056
15,harmony,15.390607118606567,100.0,32467910656.0,12.3,76675620864
16,harmony,16.50954842567444,95.375,32467910656.0,12.3,76675878912
17,harmony,17.530678510665894,79.625,32467910656.0,12.2,76676587520
18,harmony,18.542534828186035,0.0,32467910656.0,11.7,76682260480
19,harmony,19.546483993530273,0.0,32467910656.0,10.3,76681179136
20,harmony,20.550228595733643,12.0,32467910656.0,10.3,76673544192
21,harmony,21.55517315864563,91.625,32467910656.0,11.6,76678332416
22,harmony,22.5596022605896,83.625,32467910656.0,12.7,76699308032
23,harmony,23.72569251060486,98.875,32467910656.0,12.3,76683321344
24,harmony,24.747162342071533,91.125,32467910656.0,12.2,76680871936
25,harmony,25.858807802200317,95.875,32467910656.0,12.2,76679553024
26,harmony,26.87568211555481,64.0,32467910656.0,12.1,76679278592
27,harmony,27.961543083190918,73.125,32467910656.0,12.4,76679122944
28,harmony,28.96521520614624,0.0,32467910656.0,10.2,76679380992
29,harmony,29.969261646270752,0.0,32467910656.0,10.2,76681187328
30,harmony,30.973039150238037,87.75,32467910656.0,11.5,76679380992
31,harmony,31.980995655059814,70.625,32467910656.0,12.5,76678668288
32,harmony,33.07651424407959,95.625,32467910656.0,12.5,76690649088
33,harmony,34.16640090942383,90.625,32467910656.0,12.5,76677300224
34,harmony,35.20366334915161,90.375,32467910656.0,12.3,76676009984
35,harmony,36.21050453186035,89.125,32467910656.0,12.1,76675674112
36,harmony,37.218310594558716,66.625,32467910656.0,12.5,76675416064
37,harmony,38.23770523071289,0.0,32467910656.0,10.4,76675137536
38,harmony,39.244033098220825,0.0,32467910656.0,10.2,76675387392
39,harmony,40.24776840209961,98.375,32467910656.0,11.6,76682350592
40,harmony,41.26706576347351,91.625,32467910656.0,12.8,76685262848
41,harmony,42.27761149406433,70.25,32467910656.0,12.4,76685418496
42,harmony,43.359755516052246,93.875,32467910656.0,12.5,76683984896
43,harmony,44.45378851890564,91.0,32467910656.0,12.8,76686180352
44,harmony,45.525004386901855,90.125,32467910656.0,12.1,76685479936
45,harmony,46.53402900695801,62.5,32467910656.0,12.6,76685037568
46,harmony,47.54105615615845,0.0,32467910656.0,10.6,76685287424
47,harmony,48.55241060256958,0.0,32467910656.0,10.5,76684836864
48,harmony,49.556169748306274,99.375,32467910656.0,11.4,76681089024
49,harmony,50.58062171936035,100.0,32467910656.0,12.3,76680556544
